qc_id,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,layer,path,situação,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,icon_url
"1",Aeroporto de Alvorada do Norte,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,,,,,Municipal,1080 x 22,(2x) 145 x 14,100 x 50,,,TSD,,,Lote 2,Em Licitação,,,,,Não,,Semad,Não Possui,,,,Sim,Sim,Sim,,,,,,,,,,,,,
"5",Aeroporto de Ceres,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,,C,,,Municipal,1.100 x 23,1.100 x 23,70 x 60,70 x 60,,MICRO/LAMA,"6",Em Execução,,,,,,,Não,,Semma,Não Possui,,,,Sim,Sim,Sim,,Sim,Sim,NOTAM,,,,,,,,,
"6",Aeroporto de Crixás,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,,C,,,Estadual,1.400 x 23,60 x 18,125 x 18,125 x 50,,CBUQ,"7",Em Execução,,,Infraero,,,,Não,,Não defin.,Não Possui,,,,,,,,,,,,,,,,,,,
"11",Aeroporto de Bandeirantes,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,,C,,,Estadual,1.300 x 30,1.300 x 30,100 x 60,100 x 60,,MICRO/LAMA,"10",Em Execução,Lote 3,Em Licitação,,,,,Sim,"42062",Semad,Não Possui,,,,Sim,Sim,Sim,,,,,,,,,,,,,
"18",Aeroporto de Cristalina,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,,,,,Municipal,,,,,,,,,Lote 1,Em Licitação,,,,,Não,,Não defin.,,,,,Sim,Sim,Sim,,Sim,Sim,NOTAM,,,,,,,,,
"19",Aeroporto de Ipameri,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,,C,,,Municipal,1.380 x 30,1.380 x 30,75 x 60,75 x 60,,MICRO/LAMA,"10",Em Execução,Lote 3,Em Licitação,,,,,Não,,Não defin.,Não Possui,,,,,,,,,,,,,,,,,,,
"20",Aeroporto de Iporá,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,,C,,,Estadual,1.400 x 23,1.400 x 23,100 x 60,100 x 60,,MICRO/LAMA,"12",Em Execução,,,,,,,Sim,"45409",Semad,Não Possui,,,,Sim,Sim,Sim,,Sim,Não,Normal,,,,,,,,,
"25",Aeroporto de Quirinópolis,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,,B,,,Estadual,1.100 x 23,85 x 15,100 x 40,100 x 40,,MICRO/LAMA,"1",Em Execução,Lote 1,Em Licitação,,,,,Sim,"48245",Semad,Não Possui,,,,Sim,Sim,Sim,,Não,Não,Parcialmente Instalado,,,,,,,,,
"0",Aeroporto de Posse,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SJQN,B,Operacional,Diurno/Noturno,Municipal,1.500 x 30,1.500 x 30,160 x 60,160 x 60,,MICRO/LAMA,"13",Em Execução,Lote 4,Em Licitação,,,,,Sim,"46078",Semma,Ok,,,,Sim,Sim,Sim,,,,,,,,,,,,,./0.png
"2",Aeroporto de Alto Paraíso de Goiás,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SDXF,B,Operacional,Diurno,Municipal,1.080 x 30,85 x 10,80 x45,80 x 45,,MICRO/LAMA,"3",Em Execução,,,Infraero,,,,Sim,"46883",Semad,Ok,,,,Precisa de Manutenção?,,,Reforma TPS,Balizamento,,,Instalações Elétricas - Fontes de Energia,,,,,,,SE Própria,./0.png
"3",Aeroporto de Aruanã,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWNH,B,Operacional,Diurno/Noturno,Municipal,1.500 x30,170 x 15,150 x 60,150 x 60,,MICRO + CBUQ,"4",Em Execução,Lote 3,Em Licitação,,,,,Sim,"44435",Não defin.,Incluir VFR Noturno,,,,Sim,Sim,Sim,,,,,,,,,,,,,./0.png
"4",Aeroporto de Campos Belos,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWKT,A,Operacional,Diurno/Noturno,Municipal,1.520 x 30,1.520x 30,120 x 60,120 x 60,,CBUQ,"16",Em Execução,,,Infraero,,,,Sim,"46416",Semad,Ok,,,,Sim,Sim,Sim,,,,,,,,,,,,,./0.png
"7",Aeroporto de Goiás,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SJ94,C,Operacional,Diurno,Municipal,1.500 x 30,1.500 x 30,100 x 60,100 x 60,,CBUQ,"16",Em Execução,Lote 4,Em Licitação,,,,,Sim,"44391",Semad,Ok,,,,Sim,Sim,Sim,,Sim,Não,Normal,,,,,,,,,./0.png
"8",Aeroporto de Mozarlândia,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWNQ,B,Restrição,Diurno,Municipal,1.500 x 18,(2x) 100 x 15,60 x 30,60 x 30,,MICRO/LAMA,"2",Em Execução,Lote 2,Em Licitação,,,,,Não,,Não defin.,Ok,,,,,,Sim,,Sim,Sim,Normal,,,,,,,,,./1.png
"9",Aeroporto de Niquelândia,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWGP,C,Operacional,Diurno,Misto Mun. Estadual,1.200 x 30,1.200 x 30,100 x 60,100 x 60,,MICRO/LAMA,"11",Em Execução,Lote 4,Em Licitação,,,,,Não,,Semad,Ok,,,,,,,,,,,,,,,,,,,./0.png
"10",Aeroporto de Porangatu,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWPZ,B,Operacional,Diurno/Noturno,Estadual,1.500 x 30,90 x 15,100 x 50,100 x 50,,MICRO/LAMA,"3",Em Execução,Lote 2,Em Licitação,,,,,Sim,"44294",Não defin.,Ok,,,,,,,,,,,,,,,,,,,./0.png
"12",Aeroporto de São Miguel do Araguaia,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWUA,B,Operacional,Diurno/Noturno,Municipal,1.500 x 30,170 x 15,70 x 60,70 x 60,,MICRO/LAMA,"1",Em Execução,Lote 1,Em Licitação,,,,,Não,,Semad,Incluir VFR Noturno,,,,,Sim,Sim,,Sim,Não,Normal,,,,,,,,,./0.png
"13",Aeroporto de Uruaçu,,,,,,"-1","0","-1",,,Lote Norte,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Norte.kmz|layername=Lote Norte|geometrytype=Point25D|uniqueGeometryType=yes,,SWWU,B,Operacional,Diurno/Noturno,Municipal,1.440 x 30,85 x 15,120 x 60,120 x 60,,MICRO/LAMA,"2",Em Execução,Lote 2,Em Licitação,,,,,Sim,"45387",Semma,Ok,,,,Sim,Sim,Sim,,Sim,Sim,Normal,,,,,,,,,./0.png
"14",Aeroporto de Anápolis,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWNS,,Operacional,Diurno/Noturno,União,1210 x 60,1218 x 60,140 x 70,140 x 70,,CBUQ,"9",Em Execução,,,Infraero,,,,Não,,Semad,Alterando DECEA,,,,,,,,,,Parcialmente Instalado,,,,,,,,,./0.png
"15",Aeroporto de Araguarças,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SJVO,C,Operacional,Diurno,Municipal,1.210 x 30,1.210 x 30,120 x 70,120 x 70,,MICRO + CBUQ,"10",Em Execução,Lote 3,Em Licitação,,,,,Sim,"44482",Semad,Ok,,,,Sim,Sim,Sim,,Não,Não,Parcialmente Instalado,,,,,,,,,./0.png
"16",Aeroporto de Caiapônia,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWCB,C,Interditado,Diurno,Estadual,1.080 x 23,115 x 15,60 x 40,60 x 40,,MICRO/LAMA,"3",Em Execução,Lote 2,Em Licitação,,,,,Não,,Não defin.,Ok,,,,,,,,,,Parcialmente Instalado,,,,,,,,,./2.png
"17",Aeroporto de Catalão,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWCZ,C,Restrição,Diurno,Estadual,1.080 x 23,85 x 15,60 x 40,60 x 40,,MICRO/LAMA,"5",Em Execução,Lote 1,Em Licitação,,,,,Não,,Não defin.,Não Possui (grave),,,,Sim,Sim,Sim,,,,,,,,,,,,,./1.png
"21",Aeroporto de Mineiros,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SJ4Y,C,Operacional,Diurno,Municipal,1.030 x 18,1.030 x 18,80 x 40,80 x 40,,MICRO/LAMA,"15",Em Execução,Lote 4,Em Licitação,,,,,Não,,Semad,Ok,,,,,,,,Sim,Sim,Normal,,,,,,,,,./0.png
"22",Aeroporto de Morrinhos,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SDOV,C,Restrição,Diurno,Estadual,1.500 x 30,135 x 15,120 x 60,120 x 60,,MICRO/LAMA,"4",Em Execução,Lote 1,Em Licitação,,,,,Não,,Não defin.,Ok,,,,Sim,Sim,Sim,,,,,,,,,,,,,./1.png
"23",Aeroporto de Palmeiras de Goiás,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SNMH,B,Operacional,Diurno/Noturno,Misto Mun. Estadual,1.300 x 30,100 x 15,120 x 60,120 x 60,,MICRO/LAMA,"5",Em Execução,,,Infraero,,,,Não,,Não defin.,Ok,,,,Sim,Sim,Sim,,,,,,,,,,,,,./0.png
"24",Aeroporto de Pirenópolis,,,,,,"-1","0","-1",,,Lote Sul,C:/Users/vitor/Downloads/01 - AERODROMOS/Lote Sul.kmz|layername=Lote Sul|geometrytype=Point25D|uniqueGeometryType=yes,,SWWA,B,Operacional,Diurno/Noturno,Municipal,1.500 x 23,165 x 15,60 x 60,60 x 60,,MICRO/LAMA,"1",Em Execução,,,Infraero,,,,Sim,"44901",Semad,Ok,,,,,,,,,,,,,,,,,,,./0.png
